"Status","Name","Duration in ms","Description"
"passed","com.automation.TestNGReporting.TestCases.testCase3","1",""
"passed","com.automation.TestNGReporting.TestCases.testCase4","2",""
"passed","com.automation.TestNGReporting.TestCases.testCase1","20",""
"passed","com.automation.TestNGReporting.TestCases.testCase2","1",""
